file,line,function,kind,receiver,operation,literal_sql_verbs,literal_sql_tables_or_ctes,unresolved_sql_expressions
backend/cmd/acuity/main.go,320,runWorker,connection,pool,Ping,,,
backend/cmd/acuity/main.go,545,runMigrate,transaction,pool,BeginTx,,,
backend/cmd/acuity/main.go,549,runMigrate,transaction,tx,Rollback,,,
backend/cmd/acuity/main.go,576,runMigrate,transaction,tx,Commit,,,
backend/internal/access/access.go,244,*Module.Provision,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,248,*Module.Provision,transaction,tx,Rollback,,,
backend/internal/access/access.go,253,*Module.Provision,transaction,tx,Commit,,,
backend/internal/access/access.go,270,*Module.ProvisionInTx,statement,tx,Exec,select,,
backend/internal/access/access.go,277,*Module.ProvisionInTx,statement,tx,QueryRow,select,access_platform_operators | access_practices,
backend/internal/access/access.go,302,*Module.ProvisionInTx,statement,tx,Exec,insert,access_platform_operators,
backend/internal/access/access.go,321,*Module.ProvisionInTx,statement,tx,QueryRow,insert | update,access_practices | set,
backend/internal/access/access.go,337,*Module.ProvisionInTx,statement,tx,Exec,delete,access_abita_office_locations,
backend/internal/access/access.go,351,*Module.ProvisionInTx,statement,tx,QueryRow,insert | update,access_locations | set,
backend/internal/access/access.go,362,*Module.ProvisionInTx,statement,tx,Exec,insert | update,access_abita_office_locations | set,
backend/internal/access/access.go,385,*Module.ProvisionInTx,statement,tx,QueryRow,select | update,access_grants,
backend/internal/access/access.go,410,*Module.ProvisionInTx,statement,tx,QueryRow,insert,access_grants,
backend/internal/access/access.go,431,*Module.ProvisionInTx,statement,tx,Exec,insert,access_grant_locations,
backend/internal/access/access.go,447,*Module.ProvisionInTx,statement,tx,Exec,insert,access_audit_events,
backend/internal/access/access.go,472,accessGrantMatchesProvisioning,statement,tx,Query,select,access_grant_locations | access_locations,
backend/internal/access/access.go,518,*Module.InspectSignUpEligibility,statement,m.database,QueryRow,select,access_grants,
backend/internal/access/access.go,533,*Module.InspectSignUpEligibility,statement,m.database,QueryRow,select,access_platform_operators,
backend/internal/access/access.go,562,*Module.ResolveActor,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,566,*Module.ResolveActor,transaction,tx,Rollback,,,
backend/internal/access/access.go,580,*Module.ResolveActor,transaction,tx,Commit,,,
backend/internal/access/access.go,593,*Module.ResolveActor,transaction,tx,Commit,,,
backend/internal/access/access.go,701,*Module.LockServiceAuthorization,statement,tx,QueryRow,select,access_abita_office_locations | access_locations,
backend/internal/access/access.go,748,*Module.LockServiceVoiceAuthorization,statement,tx,QueryRow,select,access_locations | human_calling_location_voice_numbers,
backend/internal/access/access.go,802,*Module.LockOperationalActor,statement,tx,Query,select,access_practices,
backend/internal/access/access.go,828,*Module.LockOperationalActor,statement,tx,Query,select,access_memberships,
backend/internal/access/access.go,862,*Module.DiscoverActor,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,866,*Module.DiscoverActor,transaction,tx,Rollback,,,
backend/internal/access/access.go,882,*Module.DiscoverActor,statement,tx,Query,select,access_locations | access_membership_locations | access_memberships | access_practices,
backend/internal/access/access.go,964,*Module.DiscoverActor,transaction,tx,Commit,,,
backend/internal/access/access.go,978,*Module.DiscoverActor,statement,tx,Query,select,access_practices,
backend/internal/access/access.go,1008,*Module.DiscoverActor,statement,tx,Query,select,access_locations,
backend/internal/access/access.go,1036,*Module.DiscoverActor,transaction,tx,Commit,,,
backend/internal/access/access.go,1055,*Module.activateProvisionedEmail,statement,tx,Query,select | update,access_grants,
backend/internal/access/access.go,1089,*Module.activateProvisionedEmail,statement,tx,QueryRow,insert,access_memberships,
backend/internal/access/access.go,1106,*Module.activateProvisionedEmail,statement,tx,Exec,insert | select,access_grant_locations | access_membership_locations,
backend/internal/access/access.go,1115,*Module.activateProvisionedEmail,statement,tx,Exec,update,access_grants,
backend/internal/access/access.go,1126,*Module.activateProvisionedEmail,statement,tx,Exec,insert,access_audit_events,
backend/internal/access/access.go,1149,*Module.RevokeAccessGrant,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,1153,*Module.RevokeAccessGrant,transaction,tx,Rollback,,,
backend/internal/access/access.go,1161,*Module.RevokeAccessGrant,statement,tx,QueryRow,select | update,access_grants,
backend/internal/access/access.go,1176,*Module.RevokeAccessGrant,transaction,tx,Commit,,,
backend/internal/access/access.go,1181,*Module.RevokeAccessGrant,statement,tx,Exec,update,access_grants,
backend/internal/access/access.go,1202,*Module.RevokeAccessGrant,transaction,tx,Commit,,,
backend/internal/access/access.go,1216,*Module.RevokeMembership,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,1220,*Module.RevokeMembership,transaction,tx,Rollback,,,
backend/internal/access/access.go,1228,*Module.RevokeMembership,statement,tx,QueryRow,select | update,access_memberships,
backend/internal/access/access.go,1240,*Module.RevokeMembership,transaction,tx,Commit,,,
backend/internal/access/access.go,1245,*Module.RevokeMembership,statement,tx,Exec,update,access_memberships,
backend/internal/access/access.go,1266,*Module.RevokeMembership,transaction,tx,Commit,,,
backend/internal/access/access.go,1282,*Module.AuditTrail,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,1286,*Module.AuditTrail,transaction,tx,Rollback,,,
backend/internal/access/access.go,1294,*Module.AuditTrail,statement,tx,Query,select,access_audit_events,
backend/internal/access/access.go,1328,*Module.AuditTrail,transaction,tx,Commit,,,
backend/internal/access/access.go,1343,*Module.AddLocation,transaction,m.database,BeginTx,,,
backend/internal/access/access.go,1347,*Module.AddLocation,transaction,tx,Rollback,,,
backend/internal/access/access.go,1355,*Module.AddLocation,statement,tx,QueryRow,insert | update,access_locations | set,
backend/internal/access/access.go,1373,*Module.AddLocation,statement,tx,QueryRow,insert,access_audit_events,
backend/internal/access/access.go,1395,*Module.AddLocation,transaction,tx,Commit,,,
backend/internal/access/access.go,1410,auditRevocation,statement,tx,Exec,insert,access_audit_events,
backend/internal/access/access.go,1431,resolvePlatformOperator,statement,tx,QueryRow,select,access_platform_operators,
backend/internal/access/access.go,1446,resolvePlatformOperator,statement,tx,QueryRow,select,access_platform_operators,
backend/internal/access/access.go,1470,bindPlatformOperator,statement,tx,QueryRow,select,access_platform_operators,
backend/internal/access/access.go,1485,bindPlatformOperator,statement,tx,Query,select | update,access_platform_operators,
backend/internal/access/access.go,1522,bindPlatformOperator,statement,tx,QueryRow,update,access_platform_operators,
backend/internal/access/access.go,1538,lockPlatformOperatorIdentity,statement,tx,Exec,select,,
backend/internal/access/access.go,1551,lockPlatformOperatorEmail,statement,tx,Exec,select,,
backend/internal/access/access.go,1573,loadOperatorAuthorization,statement,tx,QueryRow,select,access_practices,
backend/internal/access/access.go,1596,loadLocations,statement,tx,Query,select,access_locations,
backend/internal/access/access.go,1642,*Module.AuditOperatorMutation,statement,tx,Exec,insert,access_audit_events,
backend/internal/access/access.go,1688,*Module.RecordWorkspaceChange,statement,tx,QueryRow,update,access_practices,
backend/internal/access/access.go,1696,*Module.RecordWorkspaceChange,statement,tx,Exec,select,access_practices,
backend/internal/access/access.go,1757,loadMembershipAuthorization,statement,tx,QueryRow,,,membershipQuery
backend/internal/access/access.go,1790,loadMembershipAuthorization,statement,tx,Query,,,locationQuery
backend/internal/httpapi/server.go,219,*Server.GetReadiness,connection,server.pool,Ping,,,
backend/internal/humancalling/callleg_projection.go,100,*Module.prepareConnectedBridgeCommand,statement,tx,QueryRow,,,recordingPolicyQuery
backend/internal/humancalling/callleg_projection.go,124,*Module.reserveConnectedCallRecording,statement,tx,Exec,insert | select,access_practices | human_calling_call_recordings | human_calling_calls,
backend/internal/humancalling/callleg_projection.go,147,*Module.terminalCleanupFailedCallLeg,statement,m.database,QueryRow,select,human_calling_call_legs | human_calling_calls,
backend/internal/humancalling/callleg_projection.go,178,*Module.admitHandoff,transaction,m.database,BeginTx,,,
backend/internal/humancalling/callleg_projection.go,182,*Module.admitHandoff,transaction,tx,Rollback,,,
backend/internal/humancalling/callleg_projection.go,188,*Module.admitHandoff,transaction,tx,Commit,,,
backend/internal/humancalling/callleg_projection.go,196,*Module.admitHandoff,statement,tx,QueryRow,select,human_calling_handoffs,
backend/internal/humancalling/callleg_projection.go,206,*Module.admitHandoff,statement,tx,Exec,insert,human_calling_calls,
backend/internal/humancalling/callleg_projection.go,215,*Module.admitHandoff,statement,tx,Exec,insert,human_calling_call_legs,
backend/internal/humancalling/callleg_projection.go,226,*Module.admitHandoff,statement,tx,Exec,update,human_calling_handoffs,
backend/internal/humancalling/callleg_projection.go,266,*Module.admitHandoff,transaction,tx,Commit,,,
backend/internal/humancalling/callleg_projection.go,273,*Module.applyCallerAnswered,transaction,m.database,BeginTx,,,
backend/internal/humancalling/callleg_projection.go,277,*Module.applyCallerAnswered,transaction,tx,Rollback,,,
backend/internal/humancalling/callleg_projection.go,283,*Module.applyCallerAnswered,transaction,tx,Commit,,,
backend/internal/humancalling/callleg_projection.go,288,*Module.applyCallerAnswered,statement,tx,QueryRow,select | update,human_calling_call_legs | human_calling_calls | of,
backend/internal/humancalling/callleg_projection.go,310,*Module.applyCallerAnswered,statement,tx,QueryRow,select | update,human_calling_call_legs | human_calling_calls | of,
backend/internal/humancalling/callleg_projection.go,328,*Module.applyCallerAnswered,statement,tx,Exec,update,human_calling_provider_commands,
backend/internal/humancalling/callleg_projection.go,339,*Module.applyCallerAnswered,transaction,tx,Commit,,,
backend/internal/humancalling/callleg_projection.go,341,*Module.applyCallerAnswered,statement,tx,Exec,update,human_calling_call_legs,
